"","Community_ID","Count","Degree","Weighted.Degree","yearsOnForce","current_age","percentBlack","percentWhite","percentMale","percentFemale","WithinCommunityComplaints","internalComplaintsPerPerson","jaccardLabProp","percentFlagged","Index_Value","DetectedCrew","totalSettlements"
"117",630,4,12.75,66.8203761516261,20.5,45.25,0,75,100,0,22,5.5,0.0263157894736842,100,0.537511878204327,"Yes",0
"118",413,6,12.3333333333333,62.7983923483923,21,46.4,0,83.3333333333333,83.3333333333333,0,25,4.16666666666667,0.3,100,0.537069217971436,"Yes",3
"119",1261,5,13.2,61.0311337785022,17.25,57.5,80,0,80,0,23,4.6,0.285714285714286,100,0.536727081813971,"Yes",0
"120",779,8,9.625,43.3334507962797,24.25,52,100,0,100,0,37,4.625,0.212121212121212,100,0.53413894048267,"Yes",4
"121",51,14,7.21428571428571,30.0811932115504,18.6923076923077,48.2307692307692,35.7142857142857,14.2857142857143,85.7142857142857,7.14285714285714,50,3.57142857142857,0.5,85.7142857142857,0.533232216190665,"Yes",4
"122",60,6,8,40.4462121212121,20.1666666666667,54.6666666666667,0,100,100,0,34,5.66666666666667,0.1,100,0.531727078710847,"Yes",1
"123",412,4,12.25,59.1852680579654,27.25,56.75,0,50,100,0,17,4.25,0.5,100,0.529703429173654,"Yes",1
"124",43,12,6.33333333333333,24.2633468383468,16.8333333333333,43,8.33333333333333,75,100,0,49,4.08333333333333,0.315789473684211,100,0.52875532441095,"Yes",6
"125",169,16,5.4375,23.5393601190476,25.75,56.25,12.5,81.25,87.5,12.5,58,3.625,0.56,68.75,0.526161281537129,"Yes",1
"126",245,7,5.14285714285714,21.6488095238095,25.8571428571429,53.7142857142857,42.8571428571429,0,100,0,26,3.71428571428571,1,100,0.526155342670263,"Yes",0
"127",3,6,8,48.0599538533362,15,41.8333333333333,0,66.6666666666667,66.6666666666667,33.3333333333333,35,5.83333333333333,0.072463768115942,83.3333333333333,0.525188643366516,"Yes",1
"128",109,4,14.75,72.5347988816739,21.75,46.5,0,100,100,0,18,4.5,0.166666666666667,100,0.524682737803108,"Yes",7
"129",1189,11,17.3636363636364,70.5317724504508,16.1,38.6,0,81.8181818181818,81.8181818181818,9.09090909090909,31,2.81818181818182,0.224489795918367,100,0.52338775081127,"Yes",9
"130",574,4,15.25,86.6168281827821,24,47.5,0,50,25,25,18,4.5,0.214285714285714,75,0.522080663083913,"Yes",4
"131",1273,10,10.4,46.0272909443498,17.6666666666667,44.7777777777778,10,10,90,0,38,3.8,0.242424242424242,100,0.521597585786754,"Yes",3
"132",782,12,5.83333333333333,23.1666696593167,15.6666666666667,39.8888888888889,8.33333333333333,41.6666666666667,66.6666666666667,8.33333333333333,42,3.5,0.588235294117647,100,0.521067794962367,"Yes",1
"133",130,6,4.16666666666667,18.9032106782107,16.6,48,0,66.6666666666667,83.3333333333333,0,24,4,1,100,0.520172336633356,"Yes",5
"134",192,16,4.4375,16.5941928137652,16.8571428571429,44.1428571428571,6.25,31.25,87.5,0,52,3.25,0.631578947368421,87.5,0.517699575743839,"Yes",7
"135",191,3,16.3333333333333,75.7929547304547,0,0,0,0,0,0,15,5,0.0337078651685393,100,0.516820125031934,"Yes",3
"136",836,3,12.3333333333333,53.7832621082621,19.5,47.5,0,66.6666666666667,66.6666666666667,0,19,6.33333333333333,0.0206185567010309,100,0.516805653037897,"Yes",2
"137",1429,3,14.6666666666667,89.3342858895491,27.3333333333333,62.6666666666667,100,0,100,0,6,2,0.666666666666667,100,0.516315192848718,"Yes",2
"138",1516,3,11.3333333333333,62.621164021164,22.3333333333333,47,0,100,100,0,16,5.33333333333333,0.142857142857143,100,0.513981534417339,"Yes",0
"139",220,4,12,61.8822642635143,23.75,51.25,0,75,100,0,20,5,0.125,100,0.513830780481062,"Yes",1
"140",127,5,10.2,45.6233766233766,22.4,48.2,0,80,100,0,26,5.2,0.2,100,0.51281545752931,"Yes",8
"141",246,15,8.4,25.5738426388426,16.9333333333333,46.5333333333333,0,53.3333333333333,93.3333333333333,6.66666666666667,41,2.73333333333333,0.764705882352941,93.3333333333333,0.51245343364602,"Yes",11
"142",348,4,7.25,34.3373106060606,29.25,52,0,75,100,0,21,5.25,0.5,100,0.511956806518091,"Yes",3
"143",927,10,14.6,66.8299193861694,17.8,42,0,20,50,0,32,3.2,0.112359550561798,100,0.511948292084673,"Yes",1
"144",35,23,11.3913043478261,32.3198363089028,16.1428571428571,42,30.4347826086957,30.4347826086957,78.2608695652174,13.0434782608696,52,2.26086956521739,0.6,82.6086956521739,0.511705139331375,"Yes",5
"145",884,5,9.8,41.3830743233375,21.8,50.4,0,60,100,0,20,4,0.666666666666667,100,0.511008260267558,"Yes",1
"146",380,6,5.5,30.743253968254,22.6,50.4,0,83.3333333333333,83.3333333333333,0,36,6,0.210526315789474,83.3333333333333,0.509526362809138,"Yes",1
"147",989,7,13,55.3095752461824,27.1428571428571,56.8571428571429,71.4285714285714,0,71.4285714285714,28.5714285714286,30,4.28571428571429,0.109375,100,0.509205663881627,"Yes",0
"148",753,3,2.66666666666667,22.3333333333333,25.3333333333333,62.3333333333333,0,66.6666666666667,100,0,18,6,0.6,100,0.508927113274787,"Yes",0
"149",332,14,8.21428571428571,29.8110157699443,20.3571428571429,48.7142857142857,28.5714285714286,57.1428571428571,85.7142857142857,14.2857142857143,41,2.92857142857143,0.722222222222222,85.7142857142857,0.508915857066342,"Yes",8
"150",115,9,8.88888888888889,45.8285953325427,22,51.7142857142857,0,77.7777777777778,44.4444444444444,33.3333333333333,37,4.11111111111111,0.260869565217391,88.8888888888889,0.508618833534717,"Yes",0
"151",883,13,8.46153846153846,32.1605600539811,9.5,34.5,7.69230769230769,30.7692307692308,84.6153846153846,7.69230769230769,40,3.07692307692308,0.590909090909091,92.3076923076923,0.507920262686587,"Yes",10
"152",558,12,4.5,20.9171101774043,24.1818181818182,53,83.3333333333333,0,75,16.6666666666667,49,4.08333333333333,0.44,83.3333333333333,0.506512416050619,"Yes",0
"153",830,7,11.7142857142857,45.2357864357864,30,63.2857142857143,0,85.7142857142857,100,0,23,3.28571428571429,0.636363636363636,100,0.503948448366634,"Yes",0
"154",1114,7,4.71428571428571,20.6898268398268,25.5714285714286,51,0,14.2857142857143,100,0,27,3.85714285714286,1,85.7142857142857,0.503940296502312,"Yes",1
"155",824,7,7.28571428571429,37.7733125068209,19.4285714285714,46.1428571428571,14.2857142857143,28.5714285714286,71.4285714285714,28.5714285714286,30,4.28571428571429,0.714285714285714,71.4285714285714,0.50344925448343,"Yes",0
"156",508,11,4.81818181818182,19.1742887089144,25.7272727272727,51.4545454545455,0,63.6363636363636,90.9090909090909,9.09090909090909,39,3.54545454545455,0.833333333333333,81.8181818181818,0.503215847864076,"Yes",2
"157",1130,5,8,33.9493719299314,22.4,54,60,20,100,0,29,5.8,0.133333333333333,100,0.502659474775487,"Yes",1
"158",294,4,3.75,20.8571301247772,22,51,0,0,100,0,20,5,0.75,100,0.502629870055317,"Yes",5
"159",403,13,7.76923076923077,32.3678332084582,26.1538461538462,63.8461538461538,38.4615384615385,53.8461538461538,100,0,42,3.23076923076923,0.65,76.9230769230769,0.501300277242316,"Yes",0
"160",847,7,7.14285714285714,33.5323923275604,26.4285714285714,58,14.2857142857143,85.7142857142857,71.4285714285714,28.5714285714286,31,4.42857142857143,0.545454545454545,85.7142857142857,0.501254580354957,"Yes",0
"161",301,12,7.08333333333333,28.9925186061215,17.1666666666667,44,0,75,91.6666666666667,8.33333333333333,50,4.16666666666667,0.210526315789474,83.3333333333333,0.49804542797641,"No",7
"162",423,3,8,45.0116642616643,20.6666666666667,44.6666666666667,0,0,100,0,19,6.33333333333333,0.0555555555555556,100,0.497856055906696,"No",1
"163",473,9,6,25.1736319054947,15.6666666666667,40.3333333333333,0,22.2222222222222,66.6666666666667,0,34,3.77777777777778,0.555555555555556,100,0.49751058168786,"No",8
"164",536,12,8.66666666666667,34.7653626745345,14.5454545454545,40.8181818181818,0,25,83.3333333333333,8.33333333333333,39,3.25,0.375,100,0.496555692205301,"No",17
"165",1317,4,1.75,16.175,15,46,0,25,75,25,21,5.25,1,75,0.494035037156654,"No",2
"166",215,10,5.2,23.2446189839572,17.8888888888889,50.1111111111111,60,10,80,10,47,4.7,0.4,70,0.49309329953788,"No",2
"167",1550,3,15,68.2651420217209,14,41.5,0,33.3333333333333,66.6666666666667,0,15,5,0.0175438596491228,100,0.492816947926739,"No",0
"168",243,16,4.125,14.6622643849206,13.9333333333333,39.7333333333333,0,68.75,87.5,6.25,50,3.125,0.5,93.75,0.489889829948079,"No",16
"169",603,6,7.66666666666667,32.2524619449963,12.3333333333333,37.5,0,50,66.6666666666667,33.3333333333333,30,5,0.428571428571429,83.3333333333333,0.489418103742914,"No",6
"170",455,19,4.31578947368421,14.6079023315865,25.1176470588235,55.6470588235294,10.5263157894737,73.6842105263158,89.4736842105263,0,48,2.52631578947368,0.789473684210526,84.2105263157895,0.489262510399114,"No",2
"171",920,8,6.125,25.6093479437229,14,41.2,37.5,12.5,50,12.5,32,4,0.5,100,0.488940319398757,"No",6
