trr_id,weapon_type,object_struck_of_discharge
16776,SEMI-AUTO PISTOL,PERSON
16777,SEMI-AUTO PISTOL,PERSON
17086,SEMI-AUTO PISTOL,OBJECT
17252,SEMI-AUTO PISTOL,OBJECT
17253,SEMI-AUTO PISTOL,OBJECT
17254,SEMI-AUTO PISTOL,OBJECT
17255,SEMI-AUTO PISTOL,OBJECT
17298,SEMI-AUTO PISTOL,UNKNOWN
17354,SEMI-AUTO PISTOL,OBJECT
17623,SEMI-AUTO PISTOL,PERSON
17711,SEMI-AUTO PISTOL,UNKNOWN
17715,SEMI-AUTO PISTOL,OBJECT
18051,SEMI-AUTO PISTOL,OBJECT
18066,SEMI-AUTO PISTOL,PERSON
18080,SEMI-AUTO PISTOL,OBJECT
18372,SEMI-AUTO PISTOL,BOTH
18390,SEMI-AUTO PISTOL,PERSON
18520,SEMI-AUTO PISTOL,UNKNOWN
18553,SEMI-AUTO PISTOL,PERSON
18596,SEMI-AUTO PISTOL,OBJECT
18709,RIFLE,PERSON
18710,REVOLVER,PERSON
18713,SEMI-AUTO PISTOL,PERSON
18714,SHOTGUN,PERSON
18716,SEMI-AUTO PISTOL,PERSON
18717,SEMI-AUTO PISTOL,PERSON
18718,SEMI-AUTO PISTOL,PERSON
18720,SEMI-AUTO PISTOL,PERSON
18720,SHOTGUN,PERSON
18721,SHOTGUN,PERSON
18722,SEMI-AUTO PISTOL,PERSON
18737,SEMI-AUTO PISTOL,OBJECT
18995,SEMI-AUTO PISTOL,UNKNOWN
19053,SEMI-AUTO PISTOL,UNKNOWN
19076,REVOLVER,PERSON
19232,SEMI-AUTO PISTOL,PERSON
19264,SEMI-AUTO PISTOL,PERSON
19379,SEMI-AUTO PISTOL,UNKNOWN
19381,RIFLE,PERSON
19382,RIFLE,PERSON
19397,SEMI-AUTO PISTOL,UNKNOWN
19398,SEMI-AUTO PISTOL,UNKNOWN
19447,SEMI-AUTO PISTOL,UNKNOWN
19448,SEMI-AUTO PISTOL,UNKNOWN
20315,SEMI-AUTO PISTOL,PERSON
20316,SEMI-AUTO PISTOL,PERSON
20863,SEMI-AUTO PISTOL,OBJECT
20946,SEMI-AUTO PISTOL,PERSON
20999,SEMI-AUTO PISTOL,PERSON
21066,SEMI-AUTO PISTOL,UNKNOWN
21131,SEMI-AUTO PISTOL,UNKNOWN
