"","CRID","Race","Gender","Victim"
"291","1001961","Black","Male","Black Male"
"292","1001979","Black","Male","Black Male"
"293","1001998","Black","Male","Black Male"
"294","1002020","Black","Male","Black Male"
"295","1002025","Black","Male","Black Male"
"296","1002035","Black","Male","Black Male"
"297","1002050","Black","Male","Black Male"
"298","1002051","Black","Male","Black Male"
"299","1002056","Black","Male","Black Male"
"300","1002063","Black","Male","Black Male"
"301","1002068","Black","Male","Black Male"
"302","1002070","Black","Male","Black Male"
"303","1002073","Black","Male","Black Male"
"304","1002078","Black","Male","Black Male"
"305","1002095","Black","Male","Black Male"
"306","1002107","Black","Male","Black Male"
"307","1002115","Black","Male","Black Male"
"308","1002123","Black","Male","Black Male"
"309","1002140","Black","Male","Black Male"
"310","1002149","Black","Male","Black Male"
"311","1002154","Black","Male","Black Male"
"312","1002168","Black","Male","Black Male"
"313","1002176","Black","Male","Black Male"
"314","1002181","Black","Male","Black Male"
"315","1002186","Black","Male","Black Male"
"316","1002196","Black","Male","Black Male"
"317","1002201","Black","Male","Black Male"
"318","1002202","Black","Male","Black Male"
"319","1002203","Black","Male","Black Male"
"320","1002215","Black","Male","Black Male"
"321","1002216","Black","Male","Black Male"
"322","1002217","Black","Male","Black Male"
"323","1002218","Black","Male","Black Male"
"324","1002221","Black","Male","Black Male"
"325","1002232","Black","Male","Black Male"
"326","1002255","Black","Male","Black Male"
"327","1002258","Black","Male","Black Male"
"328","1002262","Black","Male","Black Male"
"329","1002267","Black","Male","Black Male"
"330","1002272","Black","Male","Black Male"
"331","1002279","Black","Male","Black Male"
"332","1002281","Black","Male","Black Male"
"333","1002283","Black","Male","Black Male"
"334","1002290","Black","Male","Black Male"
"335","1002291","Black","Male","Black Male"
"336","1002294","Black","Male","Black Male"
"337","1002297","Black","Male","Black Male"
"338","1002307","Black","Male","Black Male"
"339","1002316","Black","Male","Black Male"
"340","1002327","Black","Male","Black Male"
"341","1002343","Black","Male","Black Male"
"342","1002355","Black","Male","Black Male"
"343","1002384","Black","Male","Black Male"
"344","1002394","Black","Male","Black Male"
"345","1002423","Black","Male","Black Male"
"346","1002426","Black","Male","Black Male"
"347","1002433","Black","Male","Black Male"
"348","1002446","Black","Male","Black Male"
"349","1002456","Black","Male","Black Male"
"350","1002468","Black","Male","Black Male"
"351","1002481","Black","Male","Black Male"
"352","1002491","Black","Male","Black Male"
"353","1002496","Black","Male","Black Male"
"354","1002497","Black","Male","Black Male"
"355","1002509","Black","Male","Black Male"
"356","1002512","Black","Male","Black Male"
"357","1002524","Black","Male","Black Male"
"358","1002527","Black","Male","Black Male"
"359","1002544","Black","Male","Black Male"
"360","1002556","Black","Male","Black Male"
"361","1002565","Black","Male","Black Male"
"362","1002576","Black","Male","Black Male"
"363","1002584","Black","Male","Black Male"
"364","1002590","Black","Male","Black Male"
"365","1002594","Black","Male","Black Male"
"366","1002610","Black","Male","Black Male"
"367","1002615","Black","Male","Black Male"
"368","1002627","Black","Male","Black Male"
"369","1002646","Black","Male","Black Male"
"370","1002656","Black","Male","Black Male"
"371","1002657","Black","Male","Black Male"
"372","1002659","Black","Male","Black Male"
"373","1002684","Black","Male","Black Male"
"374","1002691","Black","Male","Black Male"
"375","1002708","Black","Male","Black Male"
"376","1002715","Black","Male","Black Male"
"377","1002723","Black","Male","Black Male"
"378","1002728","Black","Male","Black Male"
"379","1002730","Black","Male","Black Male"
"380","1002733","Black","Male","Black Male"
"381","1002737","Black","Male","Black Male"
"382","1002739","Black","Male","Black Male"
"383","1002741","Black","Male","Black Male"
"384","1002757","Black","Male","Black Male"
"385","1002758","Black","Male","Black Male"
"386","1002760","Black","Male","Black Male"
"387","1002767","Black","Male","Black Male"
"388","1002775","Black","Male","Black Male"
"389","1002789","Black","Male","Black Male"
"390","1002794","Black","Male","Black Male"
"391","1002797","Black","Male","Black Male"
"392","1002812","Black","Male","Black Male"
"393","1002821","Black","Male","Black Male"
"394","1002829","Black","Male","Black Male"
"395","1002830","Black","Male","Black Male"
"396","1002831","Black","Male","Black Male"
"397","1002848","Black","Male","Black Male"
"398","1002851","Black","Male","Black Male"
"399","1002853","Black","Male","Black Male"
"400","1002863","Black","Male","Black Male"
"401","1002868","Black","Male","Black Male"
"402","1002888","Black","Male","Black Male"
"403","1002889","Black","Male","Black Male"
"404","1002896","Black","Male","Black Male"
"405","1002901","Black","Male","Black Male"
"406","1002902","Black","Male","Black Male"
"407","1002903","Black","Male","Black Male"
"408","1002920","Black","Male","Black Male"
"409","1002927","Black","Male","Black Male"
"410","1002931","Black","Male","Black Male"
"411","1002936","Black","Male","Black Male"
"412","1002940","Black","Male","Black Male"
"413","1002946","Black","Male","Black Male"
"414","1002947","Black","Male","Black Male"
"415","1002956","Black","Male","Black Male"
"416","1002971","Black","Male","Black Male"
"417","1002973","Black","Male","Black Male"
"418","1002984","Black","Male","Black Male"
"419","1002989","Black","Male","Black Male"
"420","1002991","Black","Male","Black Male"
"421","1003014","Black","Male","Black Male"
"422","1003020","Black","Male","Black Male"
"423","1003021","Black","Male","Black Male"
"424","1003038","Black","Male","Black Male"
"425","1003052","Black","Male","Black Male"
"426","1003053","Black","Male","Black Male"
"427","1003054","Black","Male","Black Male"
"428","1003065","Black","Male","Black Male"
"429","1003075","Black","Male","Black Male"
"430","1003077","Black","Male","Black Male"
"431","1003088","Black","Male","Black Male"
"432","1003093","Black","Male","Black Male"
"433","1003095","Black","Male","Black Male"
"434","1003096","Black","Male","Black Male"
"435","1003100","Black","Male","Black Male"
"436","1003105","Black","Male","Black Male"
"437","1003106","Black","Male","Black Male"
"438","1003107","Black","Male","Black Male"
"439","1003114","Black","Male","Black Male"
"440","1003129","Black","Male","Black Male"
"441","1003131","Black","Male","Black Male"
"442","1003136","Black","Male","Black Male"
"443","1003142","Black","Male","Black Male"
"444","1003143","Black","Male","Black Male"
"445","1003154","Black","Male","Black Male"
"446","1003163","Black","Male","Black Male"
"447","1003164","Black","Male","Black Male"
"448","1003166","Black","Male","Black Male"
"449","1003174","Black","Male","Black Male"
"450","1003186","Black","Male","Black Male"
"451","1003188","Black","Male","Black Male"
"452","1003189","Black","Male","Black Male"
"453","1003196","Black","Male","Black Male"
"454","1003204","Black","Male","Black Male"
"455","1003206","Black","Male","Black Male"
"456","1003209","Black","Male","Black Male"
"457","1003214","Black","Male","Black Male"
"458","1003224","Black","Male","Black Male"
"459","1003225","Black","Male","Black Male"
"460","1003227","Black","Male","Black Male"
"461","1003231","Black","Male","Black Male"
"462","1003240","Black","Male","Black Male"
"463","1003243","Black","Male","Black Male"
"464","1003255","Black","Male","Black Male"
"465","1003285","Black","Male","Black Male"
"466","1003287","Black","Male","Black Male"
"467","1003298","Black","Male","Black Male"
"468","1003302","Black","Male","Black Male"
"469","1003303","Black","Male","Black Male"
"470","1003305","Black","Male","Black Male"
"471","1003307","Black","Male","Black Male"
"472","1003309","Black","Male","Black Male"
"473","1003316","Black","Male","Black Male"
"474","1003319","Black","Male","Black Male"
"475","1003328","Black","Male","Black Male"
"476","1003333","Black","Male","Black Male"
"477","1003339","Black","Male","Black Male"
"478","1003349","Black","Male","Black Male"
"479","1003350","Black","Male","Black Male"
"480","1003354","Black","Male","Black Male"
"481","1003376","Black","Male","Black Male"
"482","1003380","Black","Male","Black Male"
"483","1003381","Black","Male","Black Male"
"484","1003388","Black","Male","Black Male"
"485","1003390","Black","Male","Black Male"
"486","1003394","Black","Male","Black Male"
"487","1003396","Black","Male","Black Male"
"488","1003416","Black","Male","Black Male"
"489","1003418","Black","Male","Black Male"
"490","1003433","Black","Male","Black Male"
"491","1003436","Black","Male","Black Male"
"492","1003437","Black","Male","Black Male"
"493","1003445","Black","Male","Black Male"
"494","1003449","Black","Male","Black Male"
"495","1003451","Black","Male","Black Male"
"496","1003472","Black","Male","Black Male"
"497","1003485","Black","Male","Black Male"
"498","1003512","Black","Male","Black Male"
"499","1003517","Black","Male","Black Male"
"500","1003521","Black","Male","Black Male"
"501","1003527","Black","Male","Black Male"
"502","1003541","Black","Male","Black Male"
"503","1003546","Black","Male","Black Male"
"504","1003563","Black","Male","Black Male"
"505","1003581","Black","Male","Black Male"
"506","1003586","Black","Male","Black Male"
"507","1003603","Black","Male","Black Male"
"508","1003608","Black","Male","Black Male"
"509","1003612","Black","Male","Black Male"
"510","1003615","Black","Male","Black Male"
"511","1003625","Black","Male","Black Male"
"512","1003632","Black","Male","Black Male"
"513","1003644","Black","Male","Black Male"
"514","1003649","Black","Male","Black Male"
"515","1003651","Black","Male","Black Male"
"516","1003655","Black","Male","Black Male"
"517","1003666","Black","Male","Black Male"
"518","1003683","Black","Male","Black Male"
"519","1003693","Black","Male","Black Male"
"520","1003695","Black","Male","Black Male"
"521","1003699","Black","Male","Black Male"
"522","1003701","Black","Male","Black Male"
"523","1003707","Black","Male","Black Male"
"524","1003712","Black","Male","Black Male"
"525","1003724","Black","Male","Black Male"
"526","1003726","Black","Male","Black Male"
"527","1003732","Black","Male","Black Male"
"528","1003748","Black","Male","Black Male"
"529","1003755","Black","Male","Black Male"
"530","1003765","Black","Male","Black Male"
"531","1003785","Black","Male","Black Male"
"532","1003787","Black","Male","Black Male"
"533","1003788","Black","Male","Black Male"
"534","1003789","Black","Male","Black Male"
"535","1003790","Black","Male","Black Male"
"536","1003795","Black","Male","Black Male"
"537","1003796","Black","Male","Black Male"
"538","1003802","Black","Male","Black Male"
"539","1003819","Black","Male","Black Male"
"540","1003827","Black","Male","Black Male"
"541","1003845","Black","Male","Black Male"
"542","1003847","Black","Male","Black Male"
"543","1003850","Black","Male","Black Male"
"544","1003852","Black","Male","Black Male"
"545","1003853","Black","Male","Black Male"
"546","1003875","Black","Male","Black Male"
"547","1003881","Black","Male","Black Male"
"548","1003884","Black","Male","Black Male"
"549","1003885","Black","Male","Black Male"
"550","1003888","Black","Male","Black Male"
"551","1003892","Black","Male","Black Male"
"552","1003906","Black","Male","Black Male"
"553","1003913","Black","Male","Black Male"
"554","1003915","Black","Male","Black Male"
"555","1003917","Black","Male","Black Male"
"556","1003921","Black","Male","Black Male"
"557","1003922","Black","Male","Black Male"
"558","1003941","Black","Male","Black Male"
"559","1003951","Black","Male","Black Male"
"560","1003955","Black","Male","Black Male"
"561","1003957","Black","Male","Black Male"
"562","1003959","Black","Male","Black Male"
"563","1003964","Black","Male","Black Male"
"564","1003968","Black","Male","Black Male"
"565","1003976","Black","Male","Black Male"
"566","1003989","Black","Male","Black Male"
"567","1003991","Black","Male","Black Male"
"568","1004007","Black","Male","Black Male"
"569","1004017","Black","Male","Black Male"
"570","1004020","Black","Male","Black Male"
"571","1004043","Black","Male","Black Male"
"572","1004056","Black","Male","Black Male"
"573","1004066","Black","Male","Black Male"
